year,city,regionid,province,provincecode,envirct04,envirct06,envirct09,eect01,eect02,eect04,fict03,gdpct01,gdpct02,gdpct03,gdpct04,gdp_percapita,eicct01,averagetemperature,averagerelativehumidity,precipitation,sunshinehours,ccnl2s,e2s,egdp2s,hdmsp2s,hviirs2s,panda2s,viirs2s,vl2s,e2m,egdp2m,ccnl2m,hdmsp2m,hviirs2m,panda2m,viirs2m,vl2m,citycode_x,ratio,ratioW,citycode_y,intensity,intensityW,RegionCode,年份,省份,城市,省份代码,城市代码,所属地域,胡焕庸线,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),城镇户籍人口(万人),非农业人口数(万人),年平均人口(万人),年末总户数(万户),出生人口(人),死亡人口(人),自然增长率(‰),常住人口(万人),城镇常住人口(万人),常住人口城镇化率(%),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),第一产业从业人员比重(%),第二产业从业人员比重(%),第三产业从业人员比重(%),农林牧渔业从业人员数(万人),采掘业从业人员数(万人),制造业从业人员数(万人),电力煤气及水生产供应业从业人员数(万人),建筑业从业人员数(万人),交通仓储邮电业从业人员数(万人),信息传输、计算机服务和软件业从业人员数(万人),批发零售贸易业从业人员数(万人),住宿餐饮业从业人员数(万人),金融业从业人员数(万人),房地产业从业人员数(万人),租赁和商业服务业从业人员数(万人),科研、技术服务和地质勘查业从业人员数(万人),水利、环境和公共设施管理业从业人员数(万人),居民服务和其他服务业从业人员数(万人),教育业从业人员数(万人),卫生、社会保险和社会福利业从业人员数(万人),文化、体育和娱乐业从业人员数(万人),公共管理和社会组织从业人员数(万人),地质勘察水利管理业从业人数(万人),交通仓储邮电通信业从业人员数(万人),批发零售贸易餐饮业从业人员数(万人),社会服务业从业人员数(万人),卫生体育社会福利业从业人员数(万人),教育文艺广播影视业从业人员数(万人),科研综合技术服务业从业人员数(万人),机关和社会团体从业人员数(万人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元),行政区域土地面积(平方公里),年末耕地总资源(千公顷),人均占有耕地面积(亩),人口密度(人／平方公里),水资源总量(万立方米),用水总量(亿立方米),地区生产总值增长率(%),规模以上服务业营业收入(万元),规模以上服务业营业收入增速(%),粮食产量(万吨),油料产量(万吨),棉花产量(万吨),蔬菜产量(吨),水果产量(吨),肉类产量(吨),奶类产量(吨),水产品产量(吨),禽蛋产量(吨),规模以上工业企业数(个),内资企业数(个),港、澳、台商投资企业数(个),外商投资企业数(个),规模以上工业总产值(当年价)(万元),内资企业工业总产值(万元),港、澳、台商投资企业工业总产值(万元),外商投资企业工业总产值(万元),从业人员年平均人数(万人),规模以上工业企业产品销售收入(万元),规模以上工业企业利税总额(万元),本年应交增值税(万元),规模以上工业企业利润总额(万元),流动资产年平均余额(万元),固定资产净值年平均余额(万元),规模以上工业企业资产总计(万元),规模以上工业企业流动资产合计(万元),规模以上工业企业固定资产合计(万元),规模以上工业企业主营业务税金及附加(万元),规模以上工业营业收入(万元),规模以上工业营业收入增速(%),固定资产投资总额(万元),房地产开发投资完成额(万元),住宅开发投资完成额(万元),社会消费品零售总额(万元),限额以上单位商品零售额(万元),限额以上批发零售业商品销售总额(万元),限额以上批发零售业法人企业数(个),当年新签项目(合同)个数(个),当年合同外资金额(万美元),当年实际使用外资金额(万美元),货物进口额(万元),货物出口额(万元),地方财政一般预算内收入(万元),工商税收(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校学校数(所),普通中学学校数(所),小学学校数(所),中等职业教育学校数(所),普通高等学校专任教师数(人),普通中学专任教师数(人),小学专任教师数(人),中等职业教育学校专任教师数(人),普通高等学校在校学生数(人),普通中学在校学生数(万人),小学在校学生数(万人),高中阶段在校学生数(人),初中阶段学生数(万人),普通高中学生数(万人),学前教育学生数(人),中等职业教育学校在校学生数(人),成人高等学校在校学生数(人),每万人在校大学生数(人),每万人在校中等职业学生数(人),R&D人员(人),R&D内部经费支出(万元),专利申请数(件),专利授权数(件),发明专利授权数(件),高新技术企业数(国家级)(个),技术合同成交额(万元),公共图书馆(个),剧场、影剧院数(个),公共图书馆图书总藏量(千册、件),每百人公共图书馆藏书(册、件),博物馆数(个),体育场馆数(个),卫生机构数(个),医院、卫生院数(个),医院、卫生院床位数(张),执业(助理)医师数(人),客运总量(万人),铁路旅客运量(万人),公路客运量(万人),水运客运量(万人),民用航空客运量(人),城市公共交通客运总量(万人次),客运量(公路+水路)(万人次),货运总量(万吨),铁路货物运量(万吨),公路货运量(万吨),水运货运量(万吨),民用航空货邮运量(吨),货运量(公路+水路)(万吨),年末邮政局(所)数(处),邮政业务收入(万元),电信业务收入(万元),本地电话年末用户数(万户),移动电话年末用户数(万户),国际互联网用户数(户),全年用电量(万千瓦时),工业用电(万千瓦时),城乡居民生活用电量(万千瓦时),城镇居民生活用电量(万千瓦时),境内公路总里程(公里),高速公路里程(公里),工业废水排放量(万吨),工业废水排放达标量(万吨),工业二氧化硫去除量(吨),工业二氧化硫排放量(吨),工业烟尘去除量(吨),工业烟尘排放量(吨),工业二氧化硫产生量(吨),工业烟粉尘去除量(吨),工业烟粉尘排放量(吨),工业氮氧化物排放量(吨),工业颗粒物排放量(吨),工业化学需氧量排放量(吨),工业氨氮排放量(吨),生活污水处理率(%),生活垃圾无害化处理率(%),工业固体废物综合利用率(%),一般工业固体废物综合利用率(%),污水处理厂集中处理率(%),细颗粒物(PM2.5)年平均浓度(微克/立方米),空气质量优良天数比例(%),保险业承保额(万元),城镇职工基本养老保险参保人数(人),职工基本医疗保险参保人数(人),失业保险参保人数(人),提供住宿的社会工作机构数(个),养老机构数(个),提供住宿的社会工作机构床位数(张),养老机构床位数(张),Unnamed: 213
2013,保山市,530500,云南省,530000,6542,,7948,255.39999,25.450001,131,10600,449.73999,28.1,34.5,37.400002,17658,2883300,,,,,33986.57,4850013476,16589.945,58222.949,98227.086,3858446.3,11262.07375,6142.8613,253341.0893,0.86658013,1.6092275,8.869813,7.0882382,157.21391,0.114717146,0.072711468,530500,36.92321429,22.81696429,530500,2.169642857,1.124107143,530500,2013,云南省,保山市,530000,530500,西部,东南侧,4497419,1285362,1552509,1659548,28.58,34.52,36.9,17500,256.9,,,256.2,,,,4.3,,,,18,112112,8298,0.38,8.08,9.85,2,44,54,0,0,3,0,4,0,0,1,0,0,1,0,0,0,0,3,1,0,2,,,,,,,,,17,661021,38952,19637,,,131,,,15.33,,,138.1,6.4,,590600,101400,439000,9000,34754,16000,139,133,2,4,2691278,2561082,98892,31304,,,,109698,313800,,,,1443958,2179837,20909,,,2883336,825183,524129,1363876,,1487213,141,6,,10600,,,428355,,1506183,8711,299832,3720724,5557459,3386584,2,122,952,7,723,11140,11275,1084,11097,15.31,19.6,47303,,,,26743,5014,184,104,,,,,,,,7,4,723,28,,,1326,115,9060,3229,2034,,1954,,800000,,,2255,,2255,,,,91,5302,52700,14,185,150000,,,,,,,6542,,,15136,,,15290,534903,7948,,,,,,99,,91,36,,,,113365,146259,77700,,,,,
2013,昆明市,530100,云南省,530000,4808,,32132,657.90002,269.20001,260,156300,3415.3101,5,45,50,52094,29315000,16,68,804.70001,2512.5,140561,25993599429,88713.352,199862.56,266110.41,15917984,134169.6954,102996.53,1232720.068,4.2034626,6.0167122,18.506794,12.567719,586.35913,1.235528075,1.1021653,530100,38.64651938,23.21550646,530100,2.530220925,1.365985827,530100,2013,云南省,昆明市,530000,530100,西部,东南侧,34153115,1697410,15372317,17086803,4.97,45.01,50.03,62437,546.8,,,545.1,,,,4.6,,,,137,2064614,41051,0.34,61.23,75.75,0,45,55,0,3,23,2,33,10,4,10,5,3,4,5,5,1,1,11,6,1,9,,,,,,,,,123,6287632,51061,21012,,,260,,,13.42,,,123.01,1.49,,2509500,169200,573700,118300,39235,88700,976,886,39,51,32247578,29802712,1032444,1412422,,,,1393106,1873964,,,,20424659,12864331,1763026,,,29315032,12917060,8689524,17022979,,45604700,962,56,,179800,,,4507534,,5857610,121709,948740,91486301,100853599,33552805,41,274,956,89,25183,23388,26243,5959,386097,31.37,48.38,265094,,,,168198,149459,485,308,,,,,,,,15,7,2747,50,,,4552,365,43443,22128,17387,4493,9803,122,29690000,,,28173,11931,16176,37,290000,,301,42600,953000,164,898,1330000,,,,,,,4808,,,101669,,,457048,3053334,32132,,,,,,100,,41,92,,,,1590241,1412860,879735,,,,,
2013,丽江市,530700,云南省,530000,2808,,11754,126.9,17.610001,57,700,248.81,16.1,45.299999,38.599998,19661,3726700,,,,,23715.691,4208187027,14146.509,37458.145,92275.383,3114201.3,16782.55361,11371.326,203894.7928,0.68542516,1.0243233,9.8528109,7.4929929,115.7524,0.15594522,0.12278441,530700,36.5974359,20.69487179,530700,2.230769231,1.003846154,530700,2013,云南省,丽江市,530000,530700,西部,东南侧,2488114,399591,1126867,961656,16.06,45.29,38.65,20734,120.1,,,119.5,,,,6.7,,,,11,48207,5413,0.17,2.9,7.86,2,27,72,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,2,1,0,2,,,,,,,,,10,402132,42196,21219,,,57,,,17.23,,,50.57,1.3,0.307,239900,132800,134000,9400,15817,4900,79,76,1,2,1486253,1442245,2389,41619,,,,122909,265467,,,,1576563,4007848,18662,,,2928013,798734,610974,748547,,1061965,80,4,,3994,,,457795,,1132028,8924,195472,3467239,4836179,2539737,2,76,476,11,940,5198,6786,479,23422,6.94,9.29,23330,,,,8418,1815,194,70,,,,,,,,6,3,510,42,,,84,84,4420,1730,2848,130,2318,,4000000,,,1526,218,1307,,10000,,70,5648,18510,15,99,120000,,,,,,,2808,,,6831,,,6831,500958,11754,,,,,,95,,92,92,,,,77482,104590,32050,,,,,
2013,临沧市,530900,云南省,530000,4568,,3773,247.89999,24.57,100,3200,416.10001,30.700001,42.200001,27.1,16839,4172600,,,,,25781.842,5318156816,17640.576,42874.805,102151.54,1164658.1,11135.27241,6735.8286,223753.1434,0.74219894,0.99139428,11.754149,7.0989838,38.539619,0.092116893,0.064751558,530900,36.8319624,24.90951821,530900,1.96239718,1.137485311,530900,2013,云南省,临沧市,530000,530900,西部,东南侧,4160951,1303626,1756754,1100572,31.33,42.22,26.45,17631,236.4,,,236.4,,,,6.8,,,,15,107615,8019,1.11,5.39,8.46,7,36,57,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,3,1,0,3,,,,,,,,,12,491696,39336,23620,,,100,,,17.88,,,98.57,2.6,,540600,399800,267100,300,65300,7600,116,113,1,2,2120860,2078545,22794,19521,,,,105631,189366,,,,1222314,2998379,18229,,,4172557,960368,508895,1163017,,1027729,108,6,,4622,,,368451,,1813260,5996,328193,3210590,4047740,2148506,1,121,1110,22,329,7527,13248,827,5626,11.19,18.61,28259,,,,19614,,120,83,,,,,,,,9,2,799,34,,,1386,122,8274,2753,947,,927,,200000,,,1812,,1812,,,,80,6104,109028,18,179,140000,,,,,,,4568,,,28251,,,28251,130289,3773,,,,,,88,,79,83,,,,141283,144321,83204,,,,,
2013,普洱市,530800,云南省,530000,2796,,12172,258.39999,33.950001,57,7900,425.39001,30,38.200001,31.799999,16491,4272800,,,,,25959.422,7541522867,25060.314,40805.996,107120.08,1525108.4,11859.48307,7225.7749,169670.3016,0.563811,0.53683066,13.835852,7.0296721,27.140871,0.052762009,0.037355866,530800,33.93629505,20.92791282,530800,1.668063705,0.693210394,530800,2013,云南省,普洱市,530000,530800,西部,东南侧,4253855,1278709,1623271,1351875,30.06,38.16,31.78,16488,258.4,,,255.1,,,,9.7,,,,17,262901,11127,0.36,7.06,9.91,2,41,57,0,0,4,1,2,0,0,1,0,0,0,0,1,0,0,3,1,0,3,,,,,,,,,16,571716,35335,45385,,,57,,,15.96,,,114.03,1.99,0.001,427100,277000,181800,100,124300,11300,131,126,2,3,2001795,1866643,63593,71559,,,,127386,202172,,,,1299407,5608696,15399,,,4272832,467283,235382,1162309,,1320590,91,8,,4043,,,537229,,2016070,11243,282550,3985057,6007397,3030713,2,134,609,28,497,7922,11768,1198,9468,11.29,17.51,48751,,,,20300,,189,79,,,,,,,,11,,843,33,,,524,135,8132,2260,3453,,3338,93,220000,,,3520,,3511,9,,,125,6744,141878,27,210,180000,,,,,,,2796,,,8205,,,11073,135889,12172,,,,,,98,,42,71,,,,153015,196716,96935,,,,,
2013,曲靖市,530300,云南省,530000,3224,,42170,597.40002,68.059998,222,7100,1583.9399,17.976101,48.023701,34.000198,26599,10208300,,,,,61661.02,11665088981,39505.496,98149.133,224605.81,8768359,46325.27057,29748.141,402114.5964,1.3607242,1.9135647,12.04096,8.3376951,234.16989,0.309284655,0.230792,530300,35.02682186,21.09463563,530300,1.882591093,0.983805668,530300,2013,云南省,曲靖市,530000,530300,西部,东南侧,15839411,2892276,8383800,4563334,18.26,52.93,28.81,24672,641.9,,,633.2,,,,6.2,,,,50,610084,10299,0.36,28.79,20.99,1,57,42,0,9,9,1,9,1,0,2,1,1,1,1,0,1,0,7,1,0,4,,,,,,,,,45,1838584,39568,28905,,,222,,,13.13,,,318.19,16.19,,2281200,207800,1722000,27000,122367,64500,542,530,5,7,16820095,16375634,85526,358935,,,,708153,793651,,,,7998680,8913735,1089331,,,10208337,1836862,1134601,3783195,,5662858,263,5,,5766,,,1215321,,2972639,25706,750471,10175043,14042249,8070108,3,241,1702,28,1292,16496,24194,1473,23829,29.24,42.41,131637,,,,85633,10737,205,133,,,,,,,,11,8,1125,17,,,685,685,24880,6474,6892,634,6258,,,,,13147,958,12189,,,,162,15200,760300,33,441,370000,,,,,,,3224,,,175178,,,682107,7877264,42170,,,,,,100,,63,90,,,,250800,427000,233900,,,,,
2013,玉溪市,530400,云南省,530000,5045,,19976,234,39.759998,140,8100,1102.47,10.1,60.299999,29.6,47215,3937100,,,,,46781.297,8456927730,28415.584,71912.133,119073.69,6326587.5,31032.5313,20701.348,564689.0885,1.8938341,2.8451676,15.011411,9.2336006,331.1185,0.406022406,0.3147375,530400,38.98836081,22.54219205,530400,2.483026188,1.167798254,530400,2013,云南省,玉溪市,530000,530400,西部,东南侧,11024677,1123415,6647880,3252280,10.19,60.3,29.5,51278,214.7,,,233.5,,,,2.8,,,,28,489363,7684,0.2,13.98,13.64,1,50,49,0,1,8,1,4,1,0,3,0,1,1,0,0,0,0,3,1,0,3,,,,,,,,,25,1097681,43455,15285,,,140,,,10.23,,,60.3,3.6,,1836000,465000,327000,7500,15871,111000,318,304,7,7,13290941,12926031,163977,200933,,,,697574,784538,,,,6733246,6591081,2699237,,,3937118,1046535,1003628,2263456,,4459444,200,1,,6742,,,1059687,,2047496,20867,310693,7084600,11310400,5773700,2,114,557,13,782,9046,11063,1290,17213,13.24,17.22,50105,,,,19095,3171,233,89,,,,,,,,10,22,1243,58,,,178,133,11034,4739,3746,9,3737,,,,,7467,575,6892,,,,76,6854,112978,18,209,270000,,,,,,,5045,,,43911,,,126426,1231964,19976,,,,,,83,,27,76,,,,223220,249653,139505,,,,,
2013,昭通市,530600,云南省,530000,1419,,14594,534.20001,36.259998,261,1400,634.70001,19.9,50.299999,29.799999,11933,5485000,,,,,20941.734,3774720944,12961,33998.691,146563.89,2940525.8,18635.47133,12911.214,167616.5581,0.57540536,0.82348907,12.550056,7.3682485,99.503983,0.157647865,0.12692194,530600,32.01743679,19.81429817,530600,1.682650392,0.845684394,530600,2013,云南省,昭通市,530000,530600,西部,东南侧,6347027,1264962,3189381,1892683,19.93,50.25,29.82,10813,586.5,,,584.9,,,,4.3,,,,24,154929,15540,0.16,7.06,16.59,1,30,70,0,3,2,1,2,0,0,1,0,0,0,0,0,0,0,6,2,0,5,,,,,,,,,22,886698,40862,22440,,,261,,,14.24,,,213.75,4.62,,1219000,297300,492000,600,25558,24000,200,195,5,,3778303,3707958,70345,,,,,245004,237510,,,,2491211,8355113,420451,,,5484963,504134,340170,1698835,,1736830,107,1,,1482,,,474721,,2612585,12257,584979,4627079,8585931,4358774,1,219,1885,31,379,18726,28937,1228,6619,37.65,58.84,119636,,,,22186,931,204,38,,,,,,,,12,,809,14,,,507,1823,18256,4155,2700,106,2586,,80000,,,3878,152,3511,215,,,141,12224,201767,20,288,180000,,,,,,,1419,,,32441,,,144846,2424066,14594,,,,,,55,,40,58,,,,112708,204339,109217,,,,,
2013,杭州市,330100,浙江省,330000,39186,,40243,706.60999,393.88,426,527633,8343.5195,3.1800001,43.889999,52.93,118589,42638700,18,68,1520.9,1665.5,194627.09,39020776146,132545.95,279879.09,307304.94,23588212,204543.3743,153960.11,2313047.526,7.8553548,9.9638977,25.389082,18.943495,1039.1864,2.252777143,1.97044,330100,38.74115226,17.71831276,330100,2.685185185,1.096502058,330100,2013,浙江省,杭州市,330000,330100,东部,东南侧,83435193,2653239,36619706,44162248,3.18,43.89,52.93,118013,706.6,,,703.6,,,,4.7,,,,283,1830931,46032,0.17,153.39,129,0,54,46,0,0,73,2,78,11,10,18,7,9,9,10,9,3,1,17,10,2,13,,,,,,,,,259,16824084,65053,16596,,,426,,,6.94,,,95.92,9.02,0.082,3062000,814100,340400,40500,197992,152900,6284,5086,533,665,124079833,86455199,14509534,23115100,,,,3807696,8541359,,,,76160953,30316969,2151876,,,42638732,18532841,11695643,35311732,,158614195,3684,415,,527633,,,9452020,,8557370,462600,1624445,183995295,217490498,63397531,38,311,419,57,27544,27385,28949,5869,471820,32.73,48.35,230902,,,,100482,107466,327,142,,,,,,,,15,60,17979,254,,,4139,301,47350,29686,36409,3717,30994,547,11510000,,,30734,284,23884,6544,220000,,269,133400,1752286,335,1547,3390000,,,,,,,39186,,,82021,,,171357,4172829,40243,,,,,,100,,94,94,,,,5307029,4483529,3163604,,,,,
2013,湖州市,330500,浙江省,330000,10789,,,262.48999,92.900002,451,105860,1803.15,6.96,52.860001,40.169998,65871,10700500,,,,,85540.68,13260871003,45309.793,129606.59,124590.13,10099484,53122.53475,40710.094,2269480.97,7.7543445,12.581994,19.101311,16.764816,1278.3402,1.680925155,1.4969165,330500,40.68677407,19.83964031,330500,2.36043462,1.064818284,330500,2013,浙江省,湖州市,330000,330500,东部,东南侧,18031501,1254992,9531451,7243254,6.96,52.86,40.17,68823,262.5,,,261.9,,,,2.3,,,,48,577700,13400,0.03,31.82,16.37,0,66,34,0,0,18,1,13,2,1,,0,2,1,1,0,1,0,3,2,0,3,,,,,,,,,42,2148619,51637,5824,,,451,,,8.34,,,90.55,4.49,0.024,806200,272600,191700,3900,292010,52500,2577,2074,252,251,38280173,29379456,4763045,4137672,,,,995970,2202697,,,,16266830,8320508,211816,,,10700473,2676379,1790217,7662182,,17712625,464,211,,105860,,,1546646,,1675076,60105,415340,21454291,25779300,12437968,3,125,130,12,1960,10101,8558,1968,26673,12.59,15.67,85867,,,,33361,5818,327,127,,,,,,,,5,5,2019,77,,,1335,111,11694,6569,8363,,8325,38,,,,16628,,7192,9436,,,76,,315944,97,366,810000,,,,,,,10789,,,36806,,,86923,3580830,30000,,,,,,100,,96,91,,,,1086100,962100,577603,,,,,
2013,嘉兴市,330400,浙江省,330000,21130,,,345.92999,159.23,884,220676,3147.6599,4.9400001,54.860001,40.200001,91177,19101500,,,,,134508.17,24312267948,83102.797,197415.63,173373.84,14702894,89432.58625,68627.328,6210260.292,21.227768,25.058802,32.464859,27.7973,2357.2227,3.584601417,3.1963799,330400,40.75826208,20.52415068,330400,2.237115785,0.94984978,330400,2013,浙江省,嘉兴市,330000,330400,东部,东南侧,31476636,1554946,17268083,12653608,4.94,54.86,40.2,90973,345.9,,,345.2,,,,1.2,,,,80,587291,26285,0.07,53.05,26.63,0,67,33,0,,49,1,3,2,1,3,1,2,2,3,1,1,0,5,3,1,4,,,,,,,,,72,3879595,53966,3915,,,884,,,8.89,,,138.83,4.93,0.28,2542300,601900,362300,11600,180005,73800,4707,3617,509,581,68936724,46619639,8904285,13412800,,,,2053039,3563875,,,,35690340,24098826,287803,,,19101518,5108262,3337967,11969340,,19398231,1300,248,,220676,,,2823092,,3033633,120567,708107,38600250,50726871,24382135,6,157,161,21,2910,14139,11205,2748,63731,17.5,22.68,124280,,,,56020,32108,359,162,,,,,,,,6,37,7920,229,,,1340,127,18398,8837,12579,958,11578,43,,,,17267,41,8843,8383,,,150,40746,832749,153,561,1320000,,,,,,,21130,,,72960,,,200736,2115343,,,,,,,100,,95,91,,,,2093917,1808659,1041200,,,,,
2013,金华市,330700,浙江省,330000,8710,,,473.35001,108.96,433,24905,2958.78,4.7399998,48.860001,46.400002,62688,13643600,,,,,125551.18,19764612617,69029.672,186408.94,181689.2,14110916,94425.27957,73773.789,1804957.718,6.2987871,10.008197,19.94541,15.564262,968.00159,1.619321956,1.4701844,330700,39.46786632,19.15589423,330700,2.420124862,0.934447301,330700,2013,浙江省,金华市,330000,330700,东部,东南侧,29587771,1402460,14456585,13728726,4.74,48.86,46.4,62553,473.4,,,472,,,,4.9,,,,90,1407459,25841,0.03,60.07,29.95,0,67,33,0,0,16,1,43,2,1,2,1,3,1,2,0,2,0,6,4,0,7,,,,,,,,,51,2833271,55229,10942,,,433,,,9.15,,,88.3,4.69,1.069,940000,579100,263000,75400,77813,53800,3871,3578,143,150,42263548,38215441,2352613,1695494,,,,1186907,2319608,,,,27107746,10772721,230038,,,13643582,3849707,2519876,14069776,,12870603,843,59,,24905,,,2424721,,3222488,121364,765995,50417253,60963832,30051314,7,240,425,43,4318,20135,16730,4209,81281,24.31,40.1,165549,,,,75328,3083,350,159,,,,,,,,10,20,2562,54,,,4027,260,21676,13374,30534,1367,29040,11,1160000,,,12363,130,12108,124,10000,,204,90479,736882,162,985,1650000,,,,,,,8710,,,37141,,,101775,2010074,30000,,,,,,99,,98,87,,,,1305612,1254320,705984,,,,,
2013,丽水市,331100,浙江省,330000,6246,,,263.92001,45.209999,152,12784,983.08002,8.6099997,50.639999,40.75,37343,5704200,,,,,39960.125,6452485554,21956.756,63349.867,101045.19,5237161,24568.13355,16983.307,372668.7176,1.2675536,2.0330245,14.277786,9.3142366,229.28821,0.268899234,0.21600331,331100,33.34035975,18.81056773,331100,1.256323777,0.537661608,331100,2013,浙江省,丽水市,330000,331100,东部,东南侧,9830769,846429,4978301,4006038,8.61,50.64,40.75,37238,263.9,,,263.3,,,,5.7,,,,18,285597,8761,0.13,4.96,12.92,1,28,72,0,0,3,1,1,1,0,0,0,1,0,0,0,0,0,3,2,0,4,,,,,,,,,17,1056542,60408,17308,,,152,,,9.95,,,52.28,1.78,0.003,1231400,403200,101500,1200,18414,12200,1202,1169,15,18,17934104,17399554,294830,239720,,,,439834,1481747,,,,7369466,3854032,77863,,,5704170,1188806,877757,4208041,,4761884,297,26,,12784,,,736997,,1953767,38239,385272,12868050,15851238,8463767,3,94,225,19,1183,8265,9597,1848,39750,11.19,16.35,68248,,,,31975,20819,259,121,,,,,,,,9,21,1514,57,,,1721,234,9863,5883,5877,99,5731,47,,,,4742,118,4498,126,,,216,19924,189034,49,296,450000,,,,,,,6246,,,26816,,,27930,122818,20000,,,,,,100,,97,78,,,,509454,352460,200093,,,,,
2013,宁波市,330200,浙江省,330000,19666,,25275,580.15002,214.35001,591,327483,7128.8701,3.8800001,52.490002,43.639999,123139,34229500,,,,,220527.97,36742661337,123758.01,313209.53,335314.94,-22754672,261116.9497,178796.11,4410200.638,14.845295,18.428768,26.11754,25.03466,-1636.4423,4.693767404,3.7347286,330200,40.0246217,17.81841498,330200,2.813541934,1.104129264,330200,2013,浙江省,宁波市,330000,330200,东部,东南侧,71288672,2766000,37419424,31110376,3.88,52.49,43.64,122912,580.2,,,578.9,,,,2.2,,,,171,1704800,69230,0.06,112.05,59.24,0,65,35,0,0,79,2,31,6,1,6,2,7,2,6,2,2,0,9,6,1,9,,,,,,,,,144,9124123,63151,9816,,,591,,,8.31,,,81.25,3.58,0.607,2491800,1284500,195000,21100,992050,75900,7167,5171,1066,930,130100892,79948313,29547796,20604783,,,,3376861,7016804,,,,68701412,32200934,2745051,,,34229529,11231401,6423263,26357078,,95524061,2936,442,,327483,,,7928080,,9398939,375758,1484777,124932759,127405215,45623634,14,297,465,55,7524,23203,24025,5714,148954,28.59,48.7,175285,,,,78345,53320,302,135,,,,,,,,12,48,6678,115,,,4032,219,28053,19949,26354,2834,22850,124,5460000,,,36145,2905,17790,15441,90000,,280,95951,1225466,298,1228,2500000,,,,,,,19666,,,134630,,,576750,6796256,25275,,,,,,100,,90,77,,,,5089401,3462764,2317404,,,,,
2013,衢州市,330800,浙江省,330000,14856,,,254.21001,54.740002,287,6616,1056.5699,7.8699999,52.619999,39.52,41676,6707200,,,,,39612.699,5183064704,17788.338,60753.637,79470.258,5054129,20186.64712,13410.774,584530.0584,2.0041747,3.9058423,13.284152,9.6693535,428.85519,0.428198171,0.33056268,330800,36.3381725,18.323655,330800,1.434671221,0.597495019,330800,2013,浙江省,衢州市,330000,330800,东部,东南侧,10565716,831522,5559680,4175571,7.87,52.62,39.52,41597,254.2,,,253.5,,,,5.1,,,,20,293119,13111,0.03,9.25,11.11,0,45,54,0,0,7,1,2,1,1,0,0,1,0,0,0,0,0,2,1,0,3,,,,,,,,,17,1006042,59635,8845,,,287,,,8.67,,,79.92,6.51,0.346,1088100,824800,306100,700,56844,23000,1004,951,20,33,14485242,13354118,248734,882390,,,,473229,966988,,,,7787751,4915062,78638,,,6707238,888211,705324,4436693,,4859927,299,13,,6616,,,727535,,1655099,49415,336675,12370166,14814602,7040824,2,93,212,17,580,8529,8262,1789,12937,11.38,14.36,70410,,,,30935,21904,277,122,,,,,,,,7,14,1417,56,,,1828,152,8828,6615,5536,242,5266,6,220000,,,8584,371,8209,4,,,61,14739,161885,51,201,430000,,,,,,,14856,,,43359,,,83106,3531549,50000,,,,,,100,,93,78,,,,504613,529654,232618,,,,,
2013,绍兴市,330600,浙江省,330000,27245,,,441.66,160.17,533,80782,3967.29,4.8699999,53.009998,42.119999,89911,20019900,,,,,114313.04,18343524599,61908.066,171130.97,174827.27,13942596,87548.71063,63728.887,2249655.656,7.5914645,11.949632,20.898354,17.73534,1254.2499,1.968862774,1.6654201,330600,40.68004896,17.03941248,330600,2.592411261,0.915299878,330600,2013,浙江省,绍兴市,330000,330600,东部,东南侧,39672887,1932070,21030597,16710220,4.87,53.01,42.12,89758,441.7,,,441.3,,,,0.7,,,,136,763977,48015,0.06,111.53,23.95,0,82,18,0,0,38,1,72,1,0,2,1,2,1,1,1,1,0,5,3,1,4,,,,,,,,,120,6026388,50379,8279,,,533,,,8.57,,,120.68,5.52,0.255,2298000,641200,178100,6300,99459,50300,4079,3278,512,289,93393104,72539349,13564915,7288840,,,,2001692,5054964,,,,49733050,19916226,380623,,,20019855,5369907,4182912,13183940,,20156144,1259,138,,80782,,,2930721,,3121077,158729,705628,54478356,63654548,27242485,9,182,373,21,3807,18317,15632,2760,77532,25.19,29.96,170237,,,,60672,21691,385,137,,,,,,,,6,34,2964,67,,,2559,158,19850,11605,18160,614,17441,105,,,,9986,115,8560,1311,,,153,46892,571128,179,686,1350000,,,,,,,27245,,,59635,,,119101,1333616,10000,,,,,,100,,93,86,,,,2117966,1730699,1089431,,,,,
