citycode,year,ratio,ratioW
110000,2012,39.67803078488744,17.80333290929907
110000,2013,42.6614987080103,18.85554325089205
110000,2014,52.49660394165463,21.59291838325354
110000,2015,45.54878048780482,19.08280487804879
110000,2016,42.50929414719912,17.32403918613415
110000,2017,42.91687344913148,16.75868486352358
110000,2018,47.04798534798541,17.99999999999999
110000,2019,45.08225365505763,16.98276476881016
110000,2020,44.55436490927271,17.04600657236744
120000,2012,38.44597534445252,17.56224317138026
120000,2013,42.82995038340113,19.20207487595854
120000,2014,49.27898702385934,21.08413562159896
120000,2015,44.07561665992736,17.38354225636877
120000,2016,43.78429933969183,15.88554658840794
120000,2017,44.78068161751722,15.15592442168462
120000,2018,45.42184724689173,15.13481349911188
120000,2019,44.73180807117877,14.32094057832857
120000,2020,45.31228941301653,14.06667848909382
130100,2012,38.68574721475229,17.73876296580875
130100,2013,40.71927349673766,17.46975842003171
130100,2014,45.36480186480179,18.21528471528478
130100,2015,44.17713039414237,17.15874746845298
130100,2016,42.48765705838859,15.49150036954916
130100,2017,43.50300859598852,14.94770773638972
130100,2018,45.45631481744576,15.4807501065492
130100,2019,40.10601413521805,13.58674489931993
130100,2020,42.85449282989077,14.30140770951187
130200,2012,40.80510786015377,21.84651624101167
130200,2013,43.186067827681,22.20669110907428
130200,2014,49.75203583061892,23.36685667752444
130200,2015,43.88446135362427,19.78434120945134
130200,2016,43.39879721856794,17.60120278143205
130200,2017,44.12225423118462,16.9944184371624
130200,2018,44.6538130487175,16.38698571182643
130200,2019,42.01214771622929,14.39083252348559
130200,2020,42.89379494898817,14.36143167753804
130300,2012,40.74789444132509,21.27175743964067
130300,2013,41.87209302325578,20.54550050556117
130300,2014,47.39484583525079,20.97791072250346
130300,2015,43.01878354203935,17.32200357781752
130300,2016,42.23715248525696,14.07160909856782
130300,2017,43.66139497161393,14.49756690997567
130300,2018,43.66077170418004,14.09244372990354
130300,2019,41.36785449146247,12.47253155159614
130300,2020,41.00578480524488,11.80910142691863
130400,2012,40.37137422729419,21.07845934379452
130400,2013,41.50704836261112,20.04012144870957
130400,2014,43.50941601673961,18.93247099105958
130400,2015,45.55273675065158,18.43058210251956
130400,2016,40.38977015215285,14.2479766914859
130400,2017,43.61029185867906,14.547311827957
130400,2018,44.34795494961472,14.17560758743328
130400,2019,38.95809309520448,11.88004500070312
130400,2020,41.01227773073683,12.07733559130679
130500,2012,39.3509164059008,20.67456414841308
130500,2013,39.53930817610062,18.84532232704402
130500,2014,43.16534321510489,18.0508205399683
130500,2015,44.21475492673063,17.16136095671214
130500,2016,41.48836073579687,14.0478593521081
130500,2017,43.35408066052716,13.79580819307714
130500,2018,44.82070904263621,13.8133687334062
130500,2019,40.33418713274068,11.93611571493143
130500,2020,40.73937377098773,11.85554379065193
130600,2012,37.98871877518126,18.49637389202256
130600,2013,40.21611931736724,17.88727950666859
