citycode,year,intensity,intensityW
110000,2012,1.903065767714032,.7602086248568888
110000,2013,3.135228251507322,1.298141995816411
110000,2014,12.72352744683221,4.489700478788556
110000,2015,4.414634146341453,1.741951219512195
110000,2016,2.626224566691784,1.012057272042203
110000,2017,3.198511166253097,1.188957816377171
110000,2018,5.754578754578766,2.101221001221001
110000,2019,4.970878402472373,1.780458813740643
110000,2020,4.066295185026432,1.460351478782683
120000,2012,1.621948271694464,.6221899927483685
120000,2013,3.491204330175917,1.436400541271993
120000,2014,8.141481791544578,3.29719547928003
120000,2015,3.48362312980186,1.333805095026284
120000,2016,3.440939104915628,1.197542186353627
120000,2017,3.997880981811758,1.298428394843723
120000,2018,4.584369449378328,1.429662522202485
120000,2019,5.189068954559906,1.685096917699398
120000,2020,4.124844830643747,1.200212803688597
130100,2012,1.707645024971186,.7095658855167115
130100,2013,2.941280197496033,1.212660906365722
130100,2014,4.475524475524471,1.690476190476189
130100,2015,2.891416108428102,1.066832840006233
130100,2016,2.036954915003699,.7334811529933503
130100,2017,2.550143266475648,.8362464183381103
130100,2018,3.840034095752235,1.249325188236963
130100,2019,1.590878783837849,.5382050940125326
130100,2020,2.8746217602947,.9406657018813324
130200,2012,1.911728242003472,.909248698239524
130200,2013,2.850595783684695,1.350366636113659
130200,2014,8.705211726384361,3.46803745928339
130200,2015,2.985582699239087,1.26732078494193
130200,2016,2.864123285096789,1.034392031573011
130200,2017,2.693554195174644,.9954987396471013
130200,2018,3.226028576347057,1.138061628507487
130200,2019,2.460317460317447,.7776158082280531
130200,2020,2.323130958354238,.7367452751296206
130300,2012,1.987647389107245,.9387984278495217
130300,2013,2.401415571284125,1.129929221435793
130300,2014,5.812241141279335,2.595029912563278
130300,2015,2.719141323792488,1.042039355992844
130300,2016,2.249368155012637,.6411120471777597
130300,2017,2.939983779399835,.9789132197891316
130300,2018,2.463826366559485,.7704983922829582
130300,2019,2.20489977728285,.6057906458797327
130300,2020,1.858850752024684,.5241033551870421
130400,2012,1.647646219686164,.7660485021398006
130400,2013,3.016699197571022,1.265885924962049
130400,2014,3.606619745101775,1.322237017310256
130400,2015,4.026064291920075,1.489139878366636
130400,2016,1.842020071220471,.5394949821948836
130400,2017,2.697388632872504,.8062980030721973
130400,2018,3.186129223473616,.9472436277415514
130400,2019,1.434397412459563,.3985374771480809
130400,2020,2.104149026248945,.5729607677109794
130500,2012,1.562360303978543,.655341975860527
130500,2013,2.118710691823906,.9003537735849048
130500,2014,2.830421739897647,1.071113463913887
130500,2015,2.851608556510028,1.048172477682331
130500,2016,1.979488849096535,.5546150089532809
130500,2017,2.303906001905372,.7010161956176586
