年份,省份,城市,省份代码,城市代码,所属地域,胡焕庸线,地区生产总值(万元),第一产业增加值(万元),第二产业增加值(万元),第三产业增加值(万元),第一产业增加值占GDP比重(%),第二产业增加值占GDP比重(%),第三产业增加值占GDP比重(%),人均地区生产总值(元),户籍人口(万人),城镇户籍人口(万人),非农业人口数(万人),年平均人口(万人),年末总户数(万户),出生人口(人),死亡人口(人),自然增长率(‰),常住人口(万人),城镇常住人口(万人),常住人口城镇化率(%),城镇非私营单位从业人员数(万人),城镇私营和个体从业人员数(人),年末城镇登记失业人员数(人),第一产业从业人员数(万人),第二产业从业人员数(万人),第三产业从业人员数(万人),第一产业从业人员比重(%),第二产业从业人员比重(%),第三产业从业人员比重(%),农林牧渔业从业人员数(万人),采掘业从业人员数(万人),制造业从业人员数(万人),电力煤气及水生产供应业从业人员数(万人),建筑业从业人员数(万人),交通仓储邮电业从业人员数(万人),信息传输、计算机服务和软件业从业人员数(万人),批发零售贸易业从业人员数(万人),住宿餐饮业从业人员数(万人),金融业从业人员数(万人),房地产业从业人员数(万人),租赁和商业服务业从业人员数(万人),科研、技术服务和地质勘查业从业人员数(万人),水利、环境和公共设施管理业从业人员数(万人),居民服务和其他服务业从业人员数(万人),教育业从业人员数(万人),卫生、社会保险和社会福利业从业人员数(万人),文化、体育和娱乐业从业人员数(万人),公共管理和社会组织从业人员数(万人),地质勘察水利管理业从业人数(万人),交通仓储邮电通信业从业人员数(万人),批发零售贸易餐饮业从业人员数(万人),社会服务业从业人员数(万人),卫生体育社会福利业从业人员数(万人),教育文艺广播影视业从业人员数(万人),科研综合技术服务业从业人员数(万人),机关和社会团体从业人员数(万人),城镇非私营单位在岗职工平均人数(万人),城镇非私营单位在岗职工工资总额(万元),城镇非私营单位在岗职工平均工资(元),行政区域土地面积(平方公里),年末耕地总资源(千公顷),人均占有耕地面积(亩),人口密度(人／平方公里),水资源总量(万立方米),用水总量(亿立方米),地区生产总值增长率(%),规模以上服务业营业收入(万元),规模以上服务业营业收入增速(%),粮食产量(万吨),油料产量(万吨),棉花产量(万吨),蔬菜产量(吨),水果产量(吨),肉类产量(吨),奶类产量(吨),水产品产量(吨),禽蛋产量(吨),规模以上工业企业数(个),内资企业数(个),港、澳、台商投资企业数(个),外商投资企业数(个),规模以上工业总产值(当年价)(万元),内资企业工业总产值(万元),港、澳、台商投资企业工业总产值(万元),外商投资企业工业总产值(万元),从业人员年平均人数(万人),规模以上工业企业产品销售收入(万元),规模以上工业企业利税总额(万元),本年应交增值税(万元),规模以上工业企业利润总额(万元),流动资产年平均余额(万元),固定资产净值年平均余额(万元),规模以上工业企业资产总计(万元),规模以上工业企业流动资产合计(万元),规模以上工业企业固定资产合计(万元),规模以上工业企业主营业务税金及附加(万元),规模以上工业营业收入(万元),规模以上工业营业收入增速(%),固定资产投资总额(万元),房地产开发投资完成额(万元),住宅开发投资完成额(万元),社会消费品零售总额(万元),限额以上单位商品零售额(万元),限额以上批发零售业商品销售总额(万元),限额以上批发零售业法人企业数(个),当年新签项目(合同)个数(个),当年合同外资金额(万美元),当年实际使用外资金额(万美元),货物进口额(万元),货物出口额(万元),地方财政一般预算内收入(万元),工商税收(万元),地方财政一般预算内支出(万元),科学支出(万元),教育支出(万元),年末金融机构各项贷款余额(万元),年末金融机构存款余额(万元),城乡居民储蓄年末余额(万元),普通高等学校学校数(所),普通中学学校数(所),小学学校数(所),中等职业教育学校数(所),普通高等学校专任教师数(人),普通中学专任教师数(人),小学专任教师数(人),中等职业教育学校专任教师数(人),普通高等学校在校学生数(人),普通中学在校学生数(万人),小学在校学生数(万人),高中阶段在校学生数(人),初中阶段学生数(万人),普通高中学生数(万人),学前教育学生数(人),中等职业教育学校在校学生数(人),成人高等学校在校学生数(人),每万人在校大学生数(人),每万人在校中等职业学生数(人),R&D人员(人),R&D内部经费支出(万元),专利申请数(件),专利授权数(件),发明专利授权数(件),高新技术企业数(国家级)(个),技术合同成交额(万元),公共图书馆(个),剧场、影剧院数(个),公共图书馆图书总藏量(千册、件),每百人公共图书馆藏书(册、件),博物馆数(个),体育场馆数(个),卫生机构数(个),医院、卫生院数(个),医院、卫生院床位数(张),执业(助理)医师数(人),客运总量(万人),铁路旅客运量(万人),公路客运量(万人),水运客运量(万人),民用航空客运量(人),城市公共交通客运总量(万人次),客运量(公路+水路)(万人次),货运总量(万吨),铁路货物运量(万吨),公路货运量(万吨),水运货运量(万吨),民用航空货邮运量(吨),货运量(公路+水路)(万吨),年末邮政局(所)数(处),邮政业务收入(万元),电信业务收入(万元),本地电话年末用户数(万户),移动电话年末用户数(万户),国际互联网用户数(户),全年用电量(万千瓦时),工业用电(万千瓦时),城乡居民生活用电量(万千瓦时),城镇居民生活用电量(万千瓦时),境内公路总里程(公里),高速公路里程(公里),工业废水排放量(万吨),工业废水排放达标量(万吨),工业二氧化硫去除量(吨),工业二氧化硫排放量(吨),工业烟尘去除量(吨),工业烟尘排放量(吨),工业二氧化硫产生量(吨),工业烟粉尘去除量(吨),工业烟粉尘排放量(吨),工业氮氧化物排放量(吨),工业颗粒物排放量(吨),工业化学需氧量排放量(吨),工业氨氮排放量(吨),生活污水处理率(%),生活垃圾无害化处理率(%),工业固体废物综合利用率(%),一般工业固体废物综合利用率(%),污水处理厂集中处理率(%),细颗粒物(PM2.5)年平均浓度(微克/立方米),空气质量优良天数比例(%),保险业承保额(万元),城镇职工基本养老保险参保人数(人),职工基本医疗保险参保人数(人),失业保险参保人数(人),提供住宿的社会工作机构数(个),养老机构数(个),提供住宿的社会工作机构床位数(张),养老机构床位数(张),
1990,北京市,北京市,110000,110000,东部,东南侧,5008200,438800,2623800,1945600,8.762,52.39,38.848,4883,1035.71,,640.42,1025.6,,,,7.5,,,,,,,90.72,281.6,254.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189296,,16808,412.667,,616,,,,,,264.62,3.094,0.347,3561200,263837,,,51603,257735,,,,,,,,,,6104513,1013330,,,,,,,,,,,1368357,,,3076643,,,,241,11688,27695,,,740101,832411,665184,,,,,,67,864,3611,,35998,45696,53624,,139646,46.02,99.58,,,,,,120564,,,,,,,,,,23,90,21277,,,,4953,,,50608,7436,3770,3490,,1760000,,,26386,3051,23326,,88400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10595000,,,,,,,,
1991,北京市,北京市,110000,110000,东部,东南侧,5586900,455300,2915300,2216300,8.149,52.181,39.67,5395,1039.5,,648.4,1035.6,,,,3.4,,,,,,,90.8,279.68,263.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321959,,16808,411.333,,618,,,,,,280,3.285,0.343,3680000,278423,,,55705,278778,,,,,,,,,,7271529,1115138,,,,,,,,,,,1462331,,,3577529,,,,724,28488,24482,,,770199,914559,679933,,,,,,67,867,3482,,43760,46698,56443,,136940,47.99,101.33,,,,,,126704,,,,,,,,,,23,90,22054,,,,4970,,,52309,7443,4036,3118,,2893700,,,29094,2983,26099,,119100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12271558,,,,,,,,
1992,北京市,北京市,110000,110000,东部,东南侧,,,,,,,,,1044.89,,656.28,,,,,2.1,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009831,,,,,,,,,,,,802532,,717424,,105507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7556,,,,,,,29807,,,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11898882,,,,,,,,
1993,北京市,北京市,110000,110000,东部,东南侧,,,,,,,,,1051.18,,668.72,,,,,1.5,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16808,406,,625,,,,,,,,,4190000,379416,,,70243,281087,,,,,,,,,,,,,,,,,,,,,,3182214,,,5328636,,18399279,,,,,,,841015,,809859,,130962,,,,66,1139,3190,,,,,,158906,67.93,102.2,,,,,,,,,,,,,,,,23,83,24610,,,,4962,,,53906,4746,,,,,,,3064,,,,,,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37956994,,,,,,,,
1994,北京市,北京市,110000,110000,东部,东南侧,10830377,737773,4998367,5094237,6.812,46.151,47.037,,1061.75,,683.84,,,,,2.1,,,,482,,,5.31,211.73,265.27,1,44,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3070000,6549,16808,402,,628,,,,,,276.1,0.4,0.4,4671000,472000,,,76000,339256,,,,,,,,,,13207344,1833800,,,8742600,5494288,,,,,,,5211383,,,6669756,,11397220,,,,144460,,,,,,,,,,,,,,,35905,60406,60524,,175203,75.77,102.45,,,,,,,,,,,,,,,,23,,25475,,,,,,,53865,7247,4374,,,,,,30825,3048,,,,,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44931425,,,,,,,,
1995,北京市,北京市,110000,110000,东部,东南侧,13948900,809036,6151465,6988399,5.8,44.1,50.1,,1076.98,,698.04,,,,,2.2,,,,482,,,50.16,195.83,236.35,10,41,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3820382,8144,16807,399,1,641,,,12.4,,,,,,3970000,452400,,,80501,,,,,,,,,,,15903646,1928155,810591,,11031958,8424711,,,,,,,4441085,3527730,,8269826,,,,1552,273505,107996,,,,,,,,,,,,,,,36563,62132,60976,,182173,83.41,100.73,,,,,,,,,,,,,,,,23,,25475,,,,,,,54114,10085,5189,,,,,,32078,2974,,,,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81418387,,,,,,,,
1996,北京市,北京市,110000,110000,东部,东南侧,16157300,840180,6834538,8498740,5.2,42.3,52.6,,1077.7,,709.7,,,,,1.1,,,,660,,,72.62,260.12,327.46,11,39,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4423882,9580,16808,344,0,641,,,9.2,,,,,,4030000,494626,,,78319,,,,,,,,,,,15801389,1225314,668736,,12182973,10450196,,,,,,,4974076,3281659,,9236637,,,,845,133554,124846,,,,,,,,,,,,,,,36387,64043,62048,,189953,86,100,,,,,,,,,,,,,,,,22,,6582,,,,,,,54091,15370,4736,,,,,,12896,4505,,,,,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58652921,,,,,,,,
1997,北京市,北京市,110000,110000,东部,东南侧,18100900,848932,7385167,9866801,4.69,40.8,54.51,,1216.7,,722.69,,,,,0.7,,,,656,,,70.79,257.61,327.09,11,39,50,71,5,175,4,74,,,,,8,8,,,,,,,,,2,33,93,56,14,43,38,33,467,5147632,11018,16808,342,0,724,,,9.57,,,,,,4270000,506785,,,76626,,,,,,,,,,,17070867,1405499,756769,,14107544,11713149,,,,,,,5820764,3303366,,10515342,,25599032,,790,252670,107729,,,,,,,,,,,65,735,2696,,36541,47613,62424,,195842,62.62,97.73,,,,,,,,,,,,,,,,,1110,27214,224,,,,,,54909,10479,4829,4902,,,,,34128,4748,29360,,,,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119445070,,,,,,,,
1998,北京市,北京市,110000,110000,东部,东南侧,20113100,864863,7864222,11384015,4.3,39.1,56.6,,1223.39,,733.64,,,,,6.1,,,,622,,,71.55,225.86,324.79,12,36,52,72,4,150,4,67,,,,,7,9,,,,,,,,,2,33,89,59,14,43,30,31,426,5302906,12451,16808,341,0,728,,,9.8,,,,,,4061262,541057,,,76366,,,,,,,,,,,19102763,1600584,848321,,16603957,13376360,,,,,,,6829237,3773996,,11952118,,28370293,,651,409677,206415,,,,,,,,,,,63,752,2511,,36559,47654,61802,,212984,60.99,91.95,,,,,,,,,,,,,,,,,1111,27215,222,,,,676,66954,51902,12419,4953,6704,,,,,30075,2563,27490,,,,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151134835,,,,,,,,
1999,北京市,北京市,110000,110000,东部,东南侧,21744600,869784,8393416,12459656,4,38.6,57.3,,1249.9,,747.2,,,,,0.1,,,,619,,30336,74.23,214.64,329.69,12,35,53,75,3,143,4,63,,,,,7,11,,,,,,,,,2,33,91,63,14,43,29,30,411,5773301,14054,16808,338,0,744,,,10.23,,,,,,4267718,540577,,,75556,,5225,,,,19999706,12181131,2022787,5795789,,20925565,1830231,858744,,16587369,13770381,,,,,,,6513968,4214591,,13133233,,23393591,,645,181685,178191,,,,,,,,,,,64,754,2352,,34976,48165,61121,,234033,63,84,,,,,,,,,,,,,,,,,329,29340,236,,,,,,52646,20323,9657,9878,,,,,45562,19897,25635,,,,750,,,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164823362,,,,,,,,
2000,北京市,北京市,110000,110000,东部,东南侧,24787600,892354,9444076,14451171,3.6,38.1,58.3,,1107.53,,760.7,,,,,-0.5,,,,619,,33221,73.07,206.84,339.98,12,33,55,73,3,134,4,65,,,,,7,13,,,,,,,,,2,33,89,69,16,42,33,25,406,6639343,16350,16808,329,0,659,,,11,,,144.16,3.8,0.16,4891457,585907,562806,303633,75044,,4572,,,,25653086,14143587,3394976,8114523,113,26947480,2535124,973028,,15192488,18907600,,,,,,,6705682,5220737,,,,32737543,,1146,433084,245849,,,,,,,,,,,59,760,2169,,34952,48903,58002,,282585,69.14,74.31,,,,,,,,,,,,,,,,,345,29340,266,,,6176,674,69183,51570,18396,4458,13009,,,,,30657,2612,28010,,,,767,,,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,北京市,北京市,110000,110000,东部,东南侧,28456500,930528,10306944,17219028,3.27,36.22,60.51,25542,1122.3,,780.1,1114.1,,,,0.6,,,,629,,50000,71.13,215.9,341.87,11,34,54,71,3,134,4,74,,,,,8,14,,,,,,,,,1,33,89,72,16,42,29,25,406,7772635,19154,16800,301,0,668,,,,,,106.28,4.27,0.343,5228671,617851,651950,429076,74302,,4356,,,,29088152,15907852,3506561,9673739,108,30068965,2795203,1164166,,20250113,15718487,,,,,,,14170733,7838185,,15934797,,30891370,2012,1147,287294,400997,,,,,,,,,,,61,791,1960,,35655,50507,54772,,340284,72.01,66.44,,,,,,,,,,,,,,,,26,245,31331,279,,,5969,673,70837,52100,22469,4750,16630,,10895000,,,30550,2505,28007,,377000,,827,140645,2537976,516,629,1090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,北京市,北京市,110000,110000,东部,东南侧,32127100,979877,11164167,19979843,3.05,34.75,62.19,28449,1136.3,,806.9,,,,,0.7,,,,679,331221,60152,67.57,235.31,376.22,10,35,55,68,3,145,4,83,,,,,8,17,,,,,,,,,1,35,101,92,14,43,26,23,435,9508796,21854,16800,249,0,676,,,10.4,,,82.3,4.6,0.35,5456330,669097,735452,550933,73676,,4551,,,,31734761,19153989,3628201,8952571,108,31827790,3219863,1274864,,21147293,15912132,,,,,,,18143000,9894000,6346000,17447866,,35847783,2280,1370,553353,509912,,,,,,,,,,,62,786,1824,,34783,51364,52840,,398573,73.07,59.42,,,,,,,,,,,,,,,,26,223,32482,286,,,4985,652,72997,47236,28384,5032,22103,,12490000,,,30767,2348,28375,,443000,,849,297857,2242597,586,920,3229327,,,,,,,,,,,,,,,,,,,,45,87,,,,,,212103641,,,,,,,,
2003,北京市,北京市,110000,110000,东部,东南侧,36631000,981711,13117561,22528065,2.68,35.81,61.5,32061,1148.82,,830.8,,,,,-1.1,,,,703,424509,69589,62.74,225.76,414.78,9,32,59,63,2,138,4,82,50,18,86,41,14,20,39,36,6,16,33,17,12,27,,,,,,,,,434,10989365,25312,16800,196,0,684,,,10.7,,,58,3.3,0.341,5273417,701240,736500,636735,71249,,4019,3059,327,633,38103630,22571879,4186491,11345260,101,38856527,4189860,1475676,,22986724,16297629,,,,,,,21571000,12024763,6329718,19167161,,45099543,2186,1360,327132,214675,,,5925388,,7348043,107629,988222,120430934,204759796,64413910,73,763,1652,,38296,51448,49843,,450789,70,55,,,,,,,,,,,,,,,,26,245,33552,292,,,5075,646,71173,47887,30520,4352,24940,,12284176,,,30671,2265,28361,,451376,,839,343522,2486977,683,1109,3980000,,,,,,,13107,13015,23902,114012,1748442,32145,,,,,,,,50,74,71,,,,,,,,,,,,,
2004,北京市,北京市,110000,110000,东部,东南侧,42833100,1027994,16105246,25699860,2.4,37.6,60,37058,1162.89,,854.69,,,,,0.3,,,,854,1798441,64617,61.52,232.8,559.75,7,27,66,62,2,151,6,73,55,37,110,43,16,32,68,39,8,44,42,19,18,29,,,,,,,,,443,13151038,29674,16800,237,0,692,,,13.23,,,70.2,2.9,0.777,4891525,744069,708365,700776,66753,,4324,3271,357,696,48808890,28262407,4608463,15938020,100,51108438,3108485,1616225,,28429076,17375860,,,,,,,25283000,14732859,7759890,19704844,,57029707,2031,1806,625796,308354,,,7444874,,8982756,132556,1213881,135774452,237813488,71543045,77,760,1504,,44095,51114,48767,,500245,66,52,,,,,,,,,,,,,,,,26,221,34506,297,,,4835,664,74345,36912,48682,5437,41552,,16927000,,,29989,1959,27973,,569000,,876,311226,3190000,847,1336,,,,,,,,13107,13015,23902,114012,2095903,29220,,,,,,,,54,80,71,,,,,,,,,,,,,
2005,北京市,北京市,110000,110000,东部,东南侧,68863101,977856,20266411,47618834,1.42,29.43,69.15,45444,1180.7,,880.2,,,,,0.4,,,,878,1884133,105652,62.25,231.09,584.71,7,26,67,62,2,154,6,69,61,25,123,51,16,32,77,32,7,49,39,20,24,30,,,,,,,,,445,15200513,34191,16410,233,0,720,,,11.8,,,94.9,2.5,0.207,4238928,761188,666932,642216,64258,,6301,4982,357,962,69462116,38649718,4848699,25963699,117,72791229,,1999843,4134988,37015806,25904420,,,,,,,28272000,15250000,7795000,28968163,,109593830,5406,2136,651749,352638,,,9192098,,10583114,157439,1458723,153354632,289700120,74775889,79,739,1403,,47936,50970,47948,,536724,59.99,49.45,,,,,,,,,,,,,,,,25,199,36263,307,,,4818,692,76031,50642,60840,5779,51925,,31361100,,,32103,1976,30050,,766581,,922,335242,3794372,944,1460,3806369,,,,,,,12813,12740,47003,105473,2500967,17688,,,,,,,,62,81,68,,,,,,,,,,,,,
2006,北京市,北京市,110000,110000,东部,东南侧,78702835,983785,21910869,55808180,1.25,27.84,70.91,50467,1197.6,,905.38,,,,,2.1,,,,514,2203385,103986,2.67,141.99,369.13,1,28,72,3,2,100,6,34,42,21,36,24,18,24,52,34,8,10,38,17,14,31,,,,,,,,,450,18054937,40117,16411,233,0,730,,,12.8,,,109.2,2.2,0.224,3941094,742159,558877,477545,62438,,6401,5000,377,1024,82099969,44108502,5910627,32080840,117,89141630,,2303426,5311453,43199055,29551620,,,,,,,33715013,17198650,8636238,33707447,,133038754,5410,2106,729713,455191,,,11171514,,12968389,193238,1751755,148848355,303732938,86984521,82,707,1310,,50732,50539,48207,,554702,54.77,47.33,,,,,,,,,,,,,,,,25,201,37760,315,,,4878,705,70698,40326,12276,6269,2482,,35249100,,,32998,1956,30953,,888136,,794,350954,4695060,905,1571,3952919,,,,,,,10170,10098,,93755,2331015,14648,,,,,,,,92,75,81,,,,,,,,,,,,,
2007,北京市,北京市,110000,110000,东部,东南侧,93533200,1010159,25094958,67428084,1.08,26.83,72.09,58204,1213.26,,928.9,,,,,3.9,,,,544,3230710,106275,2.71,144.04,397.63,0,26,73,3,2,102,7,33,46,29,38,25,21,26,56,35,8,9,39,18,15,33,,,,,,,,,472,21942743,46508,16411,233,,739,,,13.34,,,102.07,2.19,0.199,3401037,864014,478508,622409,54209,,6398,4947,380,1071,96483842,52898687,6656786,36928369,119,104401683,,2706732,6956067,49122703,34119327,,,,,,,39665657,19958206,9916637,38002053,,166568662,6088,2177,933000,506572,,,14926380,,16495023,907420,2630041,171510538,342862942,91134935,83,689,1235,,53743,50107,48192,,567875,57.68,66.66,,,,,,,,,,,,,,,,25,153,39400,325,,,6189,686,80158,54989,20040,6915,9274,,38504400,,,19895,1925,17872,,977500,,779,377895,6349171,914,1598,4220726,,,,,,,9134,8898,125303,82909,2433041,20534,,,,,,,,70,96,75,,,,,,,,,,,,,
2008,北京市,北京市,110000,110000,东部,东南侧,104880500,1132709,26933312,76824966,1.08,25.68,73.25,63029,1299.85,,950.71,,,,,4.2,,,,570,3600999,103250,2.6,140.24,427.42,0,25,75,3,5,96,7,33,48,33,44,26,23,29,63,40,8,7,40,19,15,34,,,,,,,,,506,28474862,56328,16411,,,792,,,8.95,,,125.45,2.17,0.136,3213119,850899,451113,664007,60761,,7206,5684,393,1129,104130928,60591770,9370976,34168182,123,112758173,,2829305,5569968,59282216,39261126,,,,,,,38485466,19087387,9405586,45889850,,258323675,8513,1897,,608172,,,18373238,,19592857,1121886,3162957,192811049,405126722,118699072,82,674,1202,,55005,49880,48696,,575639,54.43,65.95,457749,,,,,,,,,,,,,,,25,160,41000,315,,,6523,660,81937,58773,20978,7644,9570,,37634600,,,20515,1733,18689,,934300,,790,470335,7541280,885,1616,4398295,,,,,,,8367,8221,112491,57783,1999029,19983,,,,,,,,75,98,66,,,,,,,,,,,,,
2009,北京市,北京市,110000,110000,东部,东南侧,121530000,1178841,28559550,91791609,0.97,23.5,75.53,70452,1245.83,,,1235.65,,,,3.8,,,,619,3933230,81550,3.23,145.2,470.92,1,23,76,3,5,99,7,34,50,36,50,28,25,30,73,44,9,8,42,20,16,40,,,,,,,,,555,32271711,58140,16411,,,759,,,10.2,,,124.77,1.81,0.077,3171100,1201300,471900,674000,58161,,6891,5494,378,1019,110391291,64278406,10108962,36003923,120,,,3464650,7429216,,,,72933455,49898274,,,,48584051,23377124,9066168,53098869,,266692029,9068,1423,,612094,,,20268089,,23193658,1263072,3656677,243649662,527302569,145658843,88,647,1160,,57133,50237,49257,,577154,52.24,64.71,421522,,,,218045,281490,463,,,,,,,,,25,150,43680,351,,,6603,638,84896,62348,133872,8160,121373,,43392900,,,20486,1635,18753,,978700,,777,507618,8667454,893,1825,5049323,,,,,,,8713,8594,112829,59922,1816769,19077,,,,,,,,78,98,69,,,,,,,,,,,,,
2010,北京市,北京市,110000,110000,东部,东南侧,141135800,1241995,33886706,106007099,0.88,24.01,75.11,75943,1257.8,,,1251.81,,,,0.8,,,,647,4303573,77255,3.23,151.24,492.16,0,23,76,3,5,101,7,39,51,42,55,28,27,32,78,46,9,7,41,21,15,41,,,,,,,,,577,37890732,65682,16411,,,766,,,10.3,,,115.7,1.55,0.046,3029800,1151700,462600,641100,63365,151400,6885,5543,358,984,136998388,82208182,11144838,43645368,124,,,4097894,10283360,,,,90129501,55513073,,,,54935179,29010686,15089501,62292986,,372063366,8953,1629,,636358,,,23539301,,27173174,1789154,4502155,281750343,620418389,168742848,89,634,1104,,58383,49873,49480,,577828,50.83,65.33,417829,,,,219414,266271,459,,,,,,,,,25,182,46130,367,,,6539,550,85935,65954,140663,8903,126130,,56299473,,,21886,1572,20184,,1297990,,773,420790,10668311,886,2118,5455639,,,,,,,8198,8096,129888,56844,1907537,21266,,,,,,,,81,97,66,,,,,,,,,,,,,
2011,北京市,北京市,110000,110000,东部,东南侧,162519300,1365162,37525706,123628432,0.84,23.09,76.07,81658,1277.9,,,1267.9,,,,5.6,,,,686,2699061,81336,2.36,166.05,517.49,0,24,75,2,7,108,9,43,57,49,64,29,33,35,59,51,9,7,43,22,17,43,,,,,,,,,630,47786423,75835,16411,,,779,,,8.1,,,121.8,1.39,0.052,2968700,830700,444200,639800,61228,151500,3740,2783,243,714,145136281,87810931,11047040,46278310,,,,4270556,11294991,,,,98202576,51376622,2319302,,,58515201,30363340,17783070,69003246,,452143106,8690,1636,,705447,,,30062751,,32452264,1830745,5200778,317912891,698838733,189162355,89,632,1090,137,58735,56039,45684,9799,578633,49.73,68.05,408861,,,,213789,264109,453,167,,,,,,,,25,193,50490,395,,,9699,569,87596,69749,145773,9755,129918,,61000000,,,24788,1380,23276,,1315605,,762,515951,4362841,884,2576,5233645,,,,,,,8633,,,61299,,,154714,,29405,,,,,,98,66,,82,,,,10893893,11880098,8810357,,,,,
2012,北京市,北京市,110000,110000,东部,东南侧,178794000,1501870,40586238,136705892,0.84,22.7,76.46,87475,1297.5,,,1287.7,,,,6.8,,,,717,4777795,71982,2.54,166.53,548.3,0,23,77,3,4,107,9,43,58,53,69,32,38,37,61,54,9,9,44,23,17,45,,,,,,,,,663,56579220,85306,16411,,,791,,,7.73,,,113.8,1.3,0.027,2799000,1136000,432000,651000,64000,152000,3692,2767,240,685,155962123,97361378,11232295,47368450,,,,4116161,12678868,,,,115547666,59455870,2635845,,,64165795,31534419,16279851,77028167,,523829736,8108,1360,,804160,,,33149340,,36853076,1999444,6286510,345179846,778760000,214045510,91,630,1081,130,60004,57379,46783,9158,581844,49.9,71.87,426714,,,,233209,265049,448,180,,,,,,,,,198,55560,428,,,,608,92610,82192,149037,10315,132333,,63890000,,,26291,1232,24925,,1341105,,765,584535,4880146,883,3168,5720000,,,,,,,9190,,,59330,,,159493,,30844,,,,,,99,,79,83,,,,12063791,14315958,10067391,,,,,
2013,北京市,北京市,110000,110000,东部,东南侧,195005600,1618546,43525250,149861804,0.83,22.32,76.85,93213,1316.3,,,1306.9,,,,6,,,,742,6402778,68144,3.13,162.88,576.25,0,22,78,3,7,103,9,44,59,58,69,31,39,41,66,60,10,9,46,25,18,45,,,,,,,,,692,65020386,93997,16411,,,802,,,9.07,,,96.1,1,0.015,2669000,1038000,418000,615000,64000,175000,3641,2753,223,665,173708872,106143995,11689034,55875843,,,,5371656,12828840,,,,127305911,60602824,2813921,,,69826696,34834045,17245610,83751191,,520046401,7256,1190,,852418,,,36611097,,41736563,2346742,6811775,382214492,837612980,229043566,89,638,1093,119,66026,58963,48726,9212,589254,49.82,78.93,396145,,,,208559,258278,301,158,,,,,,,,,272,53160,404,,,,647,115278,85819,71057,11588,52481,,69880000,,,25865,1078,24651,,1360000,,918,584585,5940104,868,3374,5350000,,,,,,,9486,,,52041,,,156984,,27182,,,,,,99,,87,85,,,,13112997,13547669,10250919,,,,,
2014,北京市,北京市,110000,110000,东部,东南侧,213308300,1599812,45455999,166273820,0.75,21.31,77.95,99995,1333.4,,,1324.9,,,,7.2,,,,756,8285921,74272,3.23,159.94,592.68,0,21,78,3,6,100,8,46,60,61,72,30,43,41,71,60,10,9,46,25,17,47,,,,,,,,,705,72933476,103400,16411,,,812,,,7.3,,,,,,,,,,,,3686,2834,209,643,184528984,112021231,18105818,54401935,,,,5615607,15157524,,,,140424729,62778442,3051352,,,75114785,39113411,19620321,96379959,,600655245,8590,1318,,904085,,,40271609,,45246690,2827117,7420541,424452990,905458756,239722163,89,643,1040,123,67549,61043,49434,10756,594614,48.43,82.12,344654,,,,167100,237644,446,125,,,,,,,,,251,56010,420,,,,672,102851,89590,71715,12609,52354,,67520000,,,26697,1132,25416,,1490000,,953,637602,6873707,831,4076,5530000,,,,,,,9174,,,40347,,,135115,,22710,,,,,,100,,88,86,,,,13926052,16042532,10571258,,,,,
2015,北京市,北京市,110000,110000,东部,东南侧,230145900,1403890,45430801,183311209,0.61,19.74,79.65,106497,1345.2,,,1339.3,,,,3.7,,,,777,9517309,91593,3.89,151.04,622.41,0,19,80,4,5,92,8,45,60,68,77,30,47,42,80,59,10,9,47,27,18,47,,,,,,,,,727,82252242,113073,16411,,,820,,,6.9,,,,,,,,,,,,3548,2745,195,608,174496269,103904167,18669714,51922388,,,,5693787,15977122,,,,152214302,66601836,3318066,,,79409699,42363473,19626850,103380064,,518112598,6216,1386,,1299635,,,47238597,,57377011,2877956,8556654,488531687,1222842876,239139670,90,646,996,122,65230,63391,50053,8874,593448,45.28,85.03,,,,,134334,,441,100,,,,,,,,,,59430,442,,,,701,104644,96445,,,49931,,71720000,,,,,19044,,1582358,,949,678365,9233637,785,4052,4920000,,,,,,,8978,,,22070,,,64153,1461648,12987,,,,,,100,,83,88,,,,14242483,14756583,10822872,,,,,
